Job_Title,Company,Location,Summary,Salary
Planning and Materials Management COE Data Scientist,Hewlett Packard Enterprise,"Bengaluru, Karnataka","10+ years of experience in data analytics.
Deep understanding of machine learning/data mining algorithms and techniques.
You can also find us on:",
Data Scientist,Colgate-Palmolive,"Mumbai, Maharashtra","Defines data lifecycles, including data sources, frequency and process for ongoing model upgrades.
Collaborates with the team to shape use cases and guide them…",
"Data Scientist
new",Parexel,,"Deliver analytic insights and recommendations using data visualization techniques.
Extensive experience in working with large-scale data.",
Data Scientist,XPO Logistics,,"The selected candidate will possess a combination of data science skills including data wrangling, advanced programming and statistical analysis (machine…",
"Data Science-DL-
new",Aditya Birla Group,,"As such, the role of a data scientist is responsible for creating the decision systems that convert data into models.",
DATA SCIENTIST,Rockwell Automation,,"Experience implementing data science models in production.
Bachelor’s degree in data analytics, software engineering, management information systems, or related…",
"Data Scientist
new",Payoda,,"We are looking for a passionate data scientist to become part of the Bigdata and Data Science team to.
Hands-on data scrapping, data exploration, hypothesis…",
"Data Scientist
new",Laqshya Infosoft Solutions,,"Job Location will be Andheri West*.
We are looking for TRAINER / FACULTY on Part Time Basis to deliver Data Science Program at our institute located in Mumbai.",
Data Science,Larsen & Toubro Infotech Limited,,"Preferable Expertise in leveraging capabilities of AI & ML with medium to large customer data in Insurance Domain.
Concentrations in AI/ML preferred.",
"Data and Applied Scientist
new",Microsoft,,"We have an exciting opportunity for a seasoned data and applied scientist, who is passionate about building deep analytics, insights and optimization…",
"Data Scientist / Machine Learning Expert
new",ANI Calls India Private Limited,,"Strong intuition for data and Keen aptitude on large scale data analysis.
6-9 years of strong experience in data mining, machine learning and statistical…","₹8,00,000 - ₹16,00,000 a year"
Senior Data Scientist,Shree Manpower Services,,">Possesses strong analytical/logical thinking and communication skills >Collaborate with the data warehousing team, ensuring that data infrastructure supports…","₹8,00,000 - ₹14,50,000 a year"
Data Scientist (NLP) for a Product Based Edutech Company,Shaw Academy,"Bengaluru, Karnataka","Prior experience in working with databases and fetch data from various data sources.
Should be able to work with unstructured data to figure out the patterns…",
"Sr. Manager, Data Science",PayPal,"Bengaluru, Karnataka","10+ years of professional experience in solving problems using data-driven approach.
Work closely with Technology teams on development of new capabilities to…",
Senior Data Scientist,Colgate-Palmolive,"Mumbai, Maharashtra","Direct a team of data scientists in identifying the right analytic solution for individual use cases.
Defines data lifecycles, including data sources, frequency…",
"Senior Data Scientist
new",PayPal,"Chennai, Tamil Nadu","Leveraging data analysis tools and technologies.
Ensure the team is delivering on our KPIs by using various data mining and data visualization tools to monitor…",
