Job_Title,Company,Location,Summary,Salary
"Accountant
new",WSD Consultant,,"Knowledge of Accountancy, Computer, Accounting Software, MS Office.
Producing error-free accounting reports and present results to Management.","₹1,00,000 - ₹5,00,000 a year"
"Accountant
new",Marg Hospitality,,"Prepare, examine and analyze accounting records, financial statements, and other financial reports to assess accuracy, completeness, and conformance to report…",
"Senior Accountant
new",Flaviant Network Private Limited,,"Proven experience as a accounting supervisor or senior accountant .
*Guide junior accountants and other staff by answering questions and coordinating…","₹4,80,000 - ₹5,40,000 a year"
"Finance Executive
new",S.S.Opal Solutions,,"Immediate recruitment on finance executive.
Good communication skill on English language.
Job Types: Fresher, Walk-In.
Total work: 1 year (Preferred).","₹15,000 - ₹20,000 a month"
Accountant,Trident Precision,,"We are looking for an accountant who can:
We are a trading firm based out of IMT Manesar.
Update Bank and completely maintain company accounts.","₹25,000 - ₹32,000 a month"
"Associate Director
new",Deloitte,,"Audit is about much more than just the numbers.
It’s about attesting to accomplishments and challenges, and helping to assure strong foundations for future…",
"Junior Accountant
new",Fairmont Holidays Inn Limited,,"Support Accounts payable team by working closely with onshore partner, performing indexing of invoices on daily basis or vouchers in database management system.","₹20,000 a month"
"Finance Accountant
new",ansrsource,,"This will be on a contract basis.*.
The candidate will need to have an in-depth knowledge of finance and account.
Part-time hours: 40-45 per week.",
Accountant,Infosys BPM Limited,,"Coordination with vendor for vendor queries;
Should have the ability to work under pressure, multi task and meet the targets within defined timelines.",
"Senior Accountant
new",Barhonia Engicon Pvt Ltd,,"Looking for an experience candidate to start a permanent position at our company head office in Patna, Bihar.
Job Types: Full-time, Contract.","₹40,000 - ₹55,000 a month"
"ACCOUNTS OFFICER
new",TORTEK INDIA PRIVATE LIMITED,,"Applicant should be well versed with the accounts and balance sheets finalization.
Candidate should have good knowledge of GST and TDS and should be able to…","₹3,00,000 - ₹3,60,000 a year"
"Accountant Cashier Back Office Clerk Computer Operator
new",Jitendra Kumar Kuswaha (Proprietor Of Nexus Job Ca...,,"Greetings from the select group.
Hiring Company: HDFC, AXIS,ICICI,Kotak Mahindra etc.
Handel Passenger Queries and address customer grievance.","₹25,000 - ₹65,000 a month"
"Accountant
new",AJ Career,,"Processing & Reconciling Bank statement and Credit card statement and comparing with past transactions for consistency.
Recording year end Journal entries.","₹4,40,000 a year"
"accountant
new",AMS Digital,,"Salary: ₹9,847.00 - ₹25,555.00 per month.
Total work: 1 year (Required).","₹9,847 - ₹25,555 a month"
General Ledger Accountant,Optiva,,The General Ledger Accountant will work with local accountants in individual countries to ensure compliance with sales taxes (GST / VAT) and financial reporting…,
General Ledger Accountant,Optiva,,The General Ledger Accountant will work with local accountants in individual countries to ensure compliance with sales taxes (GST / VAT) and financial reporting…,
