Job_Title,Company,Location,Summary,Salary
"Executive Director - Application Development
new",Morgan Stanley,,"Partner with the other application development teams to front to back solutions that benefit the business.
The position requires the ability to manage multiple…",
"Business Development Executive
new",MARRACOAT,,"Strong listening and presentation skills.
Marracoat, a brand of Chennakeshava furn industries is looking for a Business Development Executive who are passionate…",
"Business Development Executive
new",Bajwa Infotech,,"Job Type: Part Time OR Full Time.
Expirence: 6 months to 5 years.
Education: Any Graduation / MBA (Marketing).
Must be able to work on different technologies.",
"Business Development Executive
new",WSD Consultant,,Their priority is to assist their companies acquire new customers and sell additional products or services to existing ones; this means the role is a crucial…,"₹2,00,000 - ₹7,00,000 a year"
"Business Development Executive
new",Paradise Placement Consultancy,,"Providing resources for personal development.
Ability to work independently and to employ excellent business judgment.
Salary Budge: 8 to 10 LPA.","₹10,00,000 a year"
"Business Development Executive
new",Fullestop,,"Explore & target new business leads & opportunities in software/mobile/web development domain.
Understanding of business based Solutions.",
"Business Development Executive
new",Harshad Websofts Pvt Ltd.,,"The successful candidate will also help to develop critical products for our clients, and offer excellent technical support.
Relevant work: 2 years (Required).","₹23,000 - ₹35,000 a month"
"Business Development Executive
new",Jewell Paints,,"Oversee the sales process to attract new clients.
Sales Promotion among stake holders.
Deal with Architects/Contractors/Interior Designers.","₹25,000 - ₹35,000 a month"
"Business Development Executive
new",Equinox Labs,,"Maintaining fruitful relationships with aggressive follow-ups with interested clients.
Would require a field job.
Pay: Up to ₹35,000.00 per month.","₹35,000 a month"
"Business Development Executive (Kids Toys) 7 + years
new",Second May International,,"Able to handle team of 20 executive.
We have been manufacturing exporters of Kids Play House Tents since 1999 .
Events in societies to attract Kids.","₹20,000 - ₹40,000 a month"
Blockchain Business Development Executive,QuillHash Technologies Pvt Ltd,,"Passion for connecting with people to develop networks and identify business opportunities.
We are looking for a Business Development Intern to join our team…","₹1,20,000 - ₹6,00,000 a month"
"Sales Exec/Sales Representative, Business Development Execut...
new",Purbanchal Laminates Private Limited,,"Required Exp in Laminates,Plywood, retention of existing customers, Complete Sales Reporting-Delivering all sales, reports daily weekly and monthly basis,…","₹4,00,000 a year"
"Business Development Executive
new",In Quotes Media Solutions,,"Develop and implement brand promotion and marketing strategy.
Promote organizational products and services through public relations initiatives.","₹25,000 - ₹30,000 a month"
"Business Development Manager (BDM)
new",shero,,"BD Executive to identify prospects based on target customer requirements.
BD Executive to use LinkedIn research to identify target prospects, connect to…","₹1,79,020 - ₹8,72,171 a year"
"Business Development Manager
new",eduTinker,,"Proven working experience as a business development manager, sales executive or a relevant role.
Arrange business meetings with prospective clients.","₹3,60,000 - ₹8,72,171 a year"
Business Development Executive,MS Clinical Research (P) Ltd,"Bengaluru, Karnataka","Ability to chase up new business opportunities.
Minimum 5 years experience of sale in the biotechnology field.
Salary: ₹50,000.00 - ₹75,000.00 per month.","₹50,000 - ₹75,000 a month"
"Business Development Executive (Urgent Requirement) (Prefera...
new",MyInfopie,"Vadodara, Gujarat","Generating IT business like Website development and Digital Marketing Clients.
Past experience in achieving sales.
Manage client expectations in an agreed way.","₹15,000 - ₹25,000 a month"
