Job_Title,Company,Location,Summary,Salary
Cloud Engineer,Techment Technology,,"As the processes change and the company grows, the DevOps engineer automates as much as possible to accelerate work.
DevOps and CI/CD experience.",
Cloud Support Engineer,HIM TECHNOLOGY DISTRIBUTION,,"Zeal to learn new cloud technologies pertaining to Azure and AWS and Google cloud.
Excellent written and verbal communication skills.","₹2,40,000 - ₹4,00,000 a year"
"Customer Engineer, Machine Learning, Google Cloud",Google,,The Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud.,
"System Engineer (TL) ! Patna & Ahmedabad ! Min 4 yrs Exp
new",Precision Techserve Private Limited,,"JD:Trouble shooting of Desktop /Laptop /Printer Software & hardware support.
Provide investigation, diagnosis, resolution and recovery for hardware/software…","₹2,50,000 - ₹3,25,000 a year"
"Cloud Infrastructure Engineer
new",Appex Innovation,,"At Appex Innovations, we believe in the power of technology to transform healthcare, we believe in being nimble and in continual innovation, we believe that…",
"Cloud Support Engineer
new",Infochola,,"The successful engineer has a wealth of experience and a proven track record in delivering the full lifecycle from technical requirements capture, high level…",
"Engineer 1, Yield Engineering
new",Maxim Integrated,,"We develop the high-performance analog and mixed-signal electronic products that are in the latest cars, smartphones, wearables, hearables, gaming devices,…",
"Cloud Operations Engineer
new",Diebold Nixdorf,,"Working in environments to support Disaster Recovery and backup in multi-cloud environments.
Fully aware of the DevOps cycle with hands-on on deployment models…",
"IT Support Engineer (Cloud) | Startup - Anaxee | Build for B...
new",Anaxee Digital Runners Pvt Ltd,,"You will be responsible for answering inquiries, troubleshooting hardware and software issues, documenting said issues and cloud technologies.","₹1,20,000 - ₹1,80,000 a year"
"Software Engineer
new",Orange,,"OIC or any oracle cloud certifications.
Design and provide hands-on development of cloud based and enterprise integrations, leveraging API framework.",
"BIM Engineer (f/m/d)
new",DB Engineering&Consulting GmbH,,"Experience in digitalization of buildings from survey data (point cloud, 2D historical drawings).
Startdatum: ab sofort Job-Nr.
Your tasks will be as follows:",
Cloud Support Engineer,FACTANA,,"We are looking for fresh mind who is interested in Cloud Platform Support Engineering to manage our IoT Platform & Services.
You should be ready to do:",
Computer Vision Engineer at ClearQuote,Cartisan,,"Deploy training and inferencing models on cloud (and edge if required).
₹8L - ₹12L / yr (ESOP available).
ClearQuote app helps assess damages in cars based on…","₹8,00,000 - ₹12,00,000 a year"
"Cloud Support Engineer I - Windows
new",AISPL - Telangana,,"Interact with leading engineers around the world.
Would you like to use the latest cloud computing technologies?
(We are hiring at multiple levels).",
"Azure Cloud Certified Engineer
new",eSupport Solution Pvt Ltd,,"Looking for Azure Cloud Certified Engineers with good communication and technical skills.
Expected Start Date: 15/12/2020.
Salary: From ₹72,000.00 per year.","₹72,000 a year"
"Azure Cloud Certified Engineer
new",eSupport Solution Pvt Ltd,,"Looking for Azure Cloud Certified Engineers with good communication and technical skills.
Expected Start Date: 15/12/2020.
Salary: From ₹72,000.00 per year.","₹72,000 a year"
"Staff Engineer Cloud Operations
new",Quark,,"Create a well-informed cloud strategy and regularly evaluate cloud applications, hardware, and software.
Why You'll Love Quark Software:",
AWS Cloud Engineer,CloudFirst Technology Private Limited,,"Experience managing cloud adoption and transformation projects.
As a leader of the project, ensure success in designing, building and migrating applications,…","₹30,000 - ₹45,000 a month"
AWS Cloud Engineer,Vonnue Innovations,,"Experience with cloud administration is a must.
Expected Start Date: 30/09/2020.
Salary: Up to ₹30,000.00 per month.
Total work: 1 year (Required).","₹30,000 a month"
NonFS_Cloud Engineer Developer - Staff,Ernst & Young,,Software Engineer in the IT Advisory Services team to be part of the delivery of cloud Technology based projects for our customers across the globe.,
"Quality Assurance Engineer
new",Rackware,,"Join our growing team of engineers who are making great things happen every day.
We are a rapidly growing Series B backed start-up addressing a giant need in…",
Cloud Engineer,Silicus,,"You will be managing production and non-production environments on cloud.
We are seeking Cloud Engineer with Azure cloud Ops specialization to join our team at…",
Cloud Engineer | 4 to 6 years | Hyderabad,Capgemini,,"Proving the use of native cloud services to support new solutions that often span private cloud and public cloud services.
Docker, Kubernetes, AKS, EKS, GKE.",
"Cloud Network Engineer
new",TransUnion,,What We'll Bring: TBD Recruiter / Hiring Manager What You'll Bring: TBD Recruiter / Hiring Manager Impact You'll Make: TBD Recruiter / Hiring Manager…,
Data Science Engineer,Aptiv,,"1-2 years of experience with cloud services like AWS EC2, Azure VMs, etc.
Aptiv is a global technology leader, with more than 160,000 people across more than…",
AWS Cloud Engineer,Mtoag Technologies,,"Install and configure cloud instances and related services.
Reporting and providing insights to Cloud engineering team for optimization cloud solution.","₹15,000 - ₹30,000 a month"
Component Engineer,Siemens Limited,,"We do this from the macro to the micro level, from physical products, components and systems to connected, cloud-based digital offerings and services.",
"Engineer-Deployment Specialist
new",Deutsche Bank,,"Job Title: Deployment Engineer / Corporate Title : AVP/Associate.
Deutsche Bank is actively renewing its digital channels and has started many strategic and…",
"Cloud Openstack Engineer III
new",Rackspace,,"Resolve matters escalated by Level 1 and 2 engineers.
Contributes to curriculum used to train junior engineers and administrators.",
Cloud Ops Engineer,Signant Health,,"Experience with cloud platforms like AWS and Azure.
Migrate on-premises workloads to the cloud (AWS/Azure).
As a member of the Production Hosting department at…",
OCI Technical Cloud Engineer,Oracle,,"OCI Technical Cloud Engineer-2000100L.
Applicants are required to read, write, and speak the following languages: English.
May have project lead role.",
"Cloud and DevOps Engineer(5-8 Years)
new",Siemens Technology and Services Private Limited,,"You should be Involved in Infrastructure provisioning for enterprise-wide cloud platform.
You are Required to Build and operate a secure cloud and networking…",
"Cloud Operations Engineer
new",TransUnion,,"Sr Engineer, Enterprise Applications and Programming.",
"Project Engineer (MEP)
new",Sukriti Social Foundation,,"Experience/knowledge in IoT devices (sensor, gateway, cloud) handling.
Installation of a smart-toilet requires highly skilled MEP engineer who is also capable…","₹20,000 - ₹30,000 a month"
"Cloud Engineer
new",Synergetics-india,,"A cloud engineer must have adept technical skills and cognate experience to be hired.
Roles and Responsibilities*: A cloud engineer is responsible for the…","₹25,000 - ₹35,000 a month"
