Job_Title,Company,Location,Summary,Salary
Zensar is hiring for Pre-sales SOC (SIEM),Zensar Technologies Limited,"Pune, Maharashtra","Knowledge of cyber security threats, vulnerabilities, hacking and exploit methods, etc.
Knowledge of Threat intelligence platforms for integrated security…",
"Cyber Security Analyst
new",Unisys,,"Identifies security risks and exposures, determines the causes of security violations and suggests procedures to halt future incidents and improve security.",
Cyber Security Intern Trainee,"Cybersapiens, United",,"This opportunity is especially for those candidates who would want to start their career in Cyber Security.
Joining as an Intern Trainee, you would be provided…",
Cyber Security Analyst,Microsoft,,"Experience in a technical support/helpdesk environment and knowledge of cyber security.
Experience in managing security incidents that involve privacy (GDPR).",
"CYBER SECURITY ENGINEERS -
new",AI Engineer,,"Research emerging security topics and new attack vectors.
Send advisories on new security alerts (Malware / Spywares etc..).
Published on : 6 hours ago.","₹21,000 - ₹30,000 a month"
"CYBER SECURITY SPECIALIST
new",Computer Engineer,,"Knowledge of network security systems and data backup.
Published on : 6 hours ago.
Have prior system administrator experience of both Windows and Linux based…","₹20,000 - ₹28,000 a month"
"Cyber Security Internship
new",BDO India LLP,,"Assess client information security posture, identify the gaps/risks in the existing environment and develop solutions to mitigate the identified gaps/risk 5.","₹10,000 a month"
CYBER SECURITY,Computer Engineer,,"Published on : 9 days ago.
This is Job is only for Cyber Security Profile.
Certified Candidates are highly preferable.","₹18,000 - ₹30,000 a month"
Cyber Security Analyst,PayU,,You will be working with a team of highly skilled Application Security Engineers that are responsible for the application security and security testing of…,
Cyber Security Intern,"Cybersapiens, United",,We are looking for candidates interested in the hacking field for performing vulnerability assessments and penetration testing on web sites and applications …,
Security Analyst (SOC) Recommended knowledge for this Job »,Cvent India Pvt. Ltd.,,"Should be familiar with emerging security threats and their attack vectors especially web application attacks.
Recommended knowledge for this Job ».",
DevOps Engineer,Alcon,"Bengaluru, Karnataka","Creating custom codes to secure in order to defend against cyber security issues.
Hands on experience in networking security, databases and cloud systems.",
"Information Security Engineer Analyst - SIR - Multiple Locat...
new",UnitedHealth Group,"Gurgaon, Haryana","Accomplish security related project goals identified via security events.
Provide security consultation to IT and business.
There's no room for error.",
Expense Analyst,Solvefox IT enabled services,"Chandigarh, Chandigarh","Solvefox manages business support operations for US companies in the field of Health IT, Strategy, Cyber Security and Communications.","₹10,000 - ₹30,000 a month"
SA/LSA/SSA-SOAR Developer-Hyderabad/Bengaluru/Gurgaon,Deloitte,"Hyderabad, Telangana","Security telemetry coupled with referential data).
Cyber topics, including such examples as:
Dependencies and design incident response programs supporting…",
Cyber Sec Archt/Engr I,Honeywell,,"Innovate to solve the world's most important challenges.
Cybersecurity Incident Response Team (CIRT).
Are you passionate about leading global Cybersecurity…",
"Senior Consultant - Tech Consulting - TMT - Cyber Security -...
new",Ernst & Young,,"Knowledge of general security concepts and methods such as vulnerability assessments, privacy assessments, intrusion detection, incident response, security…",
Cyber Security Analyst,singhi & co,,"Process Knowledge on ERP - SAP or ORACLE.
ITGC & IT Audit or consulting.
Willingness to travel to client location (20%).
Certified holder of CISA or CEH.","₹25,000 - ₹30,000 a month"
cyber security website maintainence,Dataviv Media Network,,"Cyber Security: 1 year (Preferred).
Total work: 1 year (Preferred).",
"Consultant - Tech Consulting - National - Cyber Security - H...
new",Ernst & Young,,"Experience in information and cyber security is essential for this role.
As a Consultant in our Cybersecurity practice you will be working within IT Risk and…",
Associate Cyber Security Consultant-IND,Ingram Micro,,"0-2 years of information security experience.
Investigations – security incident response, digital forensics, investigations.",
Security Analyst,Kratikal Tech Pvt Ltd,,"Kratikal Tech is the one of the fastest growing cyber security companies started by five alumnus of NIT Allahabad in 2013.
Expected Start Date: 12/12/2020.","₹6,00,000 a year"
"Security Engineer
new",inFeedo,,"Conduct periodic security training and assessments.
AWS cloud ecosystem security experience is mandatory.
Develop best practices and security standards for the…",
"Cyber Range Manager
new",Amtrak Technologies Pvt Ltd,,"Designed and implemented cyber security product according to customer requirement.
Good Knowledge of Network and cyber security solution for mid and large…","₹40,000 - ₹50,000 a month"
"Consultant - Tech Consulting - FS - Cyber Security - Mumbai
new",Ernst & Young,,"Knowledge of general security concepts and methods such as vulnerability assessments, privacy assessments, intrusion detection, incident response, security…",
Information Security Analyst (IAM),MoneyGram,"Mumbai, Maharashtra","On call 24/7 to address security related access issues on a rotational basis.
Experience in working with security and access controls and provisioning in cloud…",
Sr CRA I,Syneos Health Clinical,Delhi,"May perform investigational product (IP) inventory, reconciliation and reviews storage and security.
The Senior Clinical Research Associate I (SCRA I) will…",
Cyber Security Internship,Paralok Information Security Private Limited,,"Help colleagues install security software and understand information security management 11.
Monitor computer networks for security issues 2.","₹10,000 a month"
Cyber Security Support Specialists,Secure Network Solutions India,,"2-5 years of experience in L1/L2/L3 Support of Firewall, VPN, and Load Balancers, SIEM and Log Analyzers.
(Refer to the job code, if you are applying for one).",
Cyber Security Specialist,Hatch,,"Serve as a senior cyber security Subject Matter Expert.
Managethe planning and execution of cyber security projects and initiatives.
You bring to the role:",
"Cyber Underwriter
new",Munich RE,,"Close monitoring of responsible market and responsible cyber treaties’ performance and maintenance of Forecast.
Eager to explore new topics and knowledge.",
Security Operations Center Analyst,Alphaserve Technologies,,"Perform Malware analysis and cyber threat intelligence.
The SOC Analyst L1 will be responsible for analyzing and responding to network security events.",
Information Security Analyst,KAYK TECHNOLOGIES PVT LTD,,"Investigate security breaches and other cyber security incidents.
You will monitor computer networks for security issues, install security software and document…","₹2,00,000 - ₹5,00,000 a year"
Sr Staff Product Cyber-Security Architect,General Electric,,"As a key member of a global and matrixed design team, Senior Cyber security Architect is responsible for the analysis of controllers and systems for cyber…",
Technology Consulting_Cyber Security_NGSO - TEM_Senior,Ernst & Young,,"Understanding of network security and popular attacks vectors.
Execute red team assessments to highlight gaps impacting organizations security postures.",
Cyber Security Engineer,SourceGain Consulting Pvt. Ltd.,,"Design computer security architecture and develop detailed cyber security designs.
Identify threats and develop suitable defense measures, evaluate system…",
Cyber security Manager with Fundamental Computer Forensics S...,Law and Solutions,,"Candidate who has prior experience in dealing with cyber law or marketing for cyber securities will have top priority.*.
Direct and drive marketing growth.","₹12,00,000 a year"
"Security analyst
new",AI Engineer,,"Investigating security breaches and other cyber security incidents.
Strong knowledge of cyber security risks with the ability to discuss cyber security issues…","₹17,000 - ₹25,000 a month"
