Job_Title,Company,Location,Summary,Salary
Full Stack Developer,Techlify Inc,Remote,"Work on reviewing other developers code.
Training and reviewing work of other Junior developers.
Work in a team with 3-8 other developers.","₹75,000 - ₹1,00,000 a month"
Sr. Software Developer (Deployment Services),Brinqa,"Bengaluru, Karnataka","We are looking for a well-rounded developer who can think strategically and deliver tactical implementations.
End-to-End Design and Configuration.","₹5,82,729 - ₹16,77,867 a year"
UI Developer / Frontend Developer,iTech Mission Pvt Ltd,"Delhi, Delhi","We are urgently hiring for the position of a UI / Frontend developer.
Following are the job details for the profile:
Salary: Up to ₹600,000.00 per year.","₹6,00,000 a year"
"AngularJS Developer
new",UG Info Systems Pvt Ltd,"New Delhi, Delhi","Cooperate with developers, designers, and system administrators to identify new features.
We are looking for AngularJS developers with 2+ years of experience…","₹30,000 - ₹80,000 a month"
".Net Developer Intern
new",MI TECH SOLUTIONS,"Pune, Maharashtra","Should know basic concepts about c#.net along with asp.net technologies.*.
We are offering 3 months internship for above skills and it will be without pay and…","₹10,000 a month"
"Full Stack Web Developer/Designer
new","Conference Technologies, Inc.","Pune, Maharashtra","Proven work experience as a web designer / web developer.
CTI is looking for full-time, remote web designer / UX developer.
So, what are we looking for?*.","₹5,00,000 - ₹8,50,000 a year"
"Freshers/Trainee Software Developer
new",Blue Flame Labs,,"Good Knowledge of HTML, JavaScript, C, C++ concepts.
Must have knowledge of C#, jQuery.
Strong Logical Reasoning, Analytical and Problem solving skills.",
Full Stack Developer,Asquero,,"Selected intern's day-to-day responsibilities include:
Work on front-end using languages such as JavaScript, HTML, and CSS.
Only those candidates can apply who:","₹2,50,000 - ₹5,00,000 a year"
"Junior Software Developer
new",Dinfotech,,"CAREER LAUNCH PROGRAM For FRESHERS ONLY.
Any Graduate : (2012 - 2020 passout).
Sal : 12k first 3 months.
15k to 25k from 4 month.","₹12,500 - ₹25,000 a month"
"Internship -Web Developer and Web Designer
new",Passogen Technologies,,"Working at Passogen Technologies provides the opportunity to work with multiple domains.
Our unique, fast-paced and exciting environment that done every…","₹4,000 a month"
"Associate Developer - Software Engineering
new",UST Global,,"Work with the team to develop code with in the stipulated time.
(2) Apply generally accepted programing standards and techniques to assures efficient program…",
"ETL Developer
new",Tanla Solutions,,"Responsible for developing, deploying, monitoring and maintaining ETL Jobs, convert existing SQL scripts into ETL platform and data mining and text analytics.",
"ReactJS Developer
new",Diksha Technologies,,"A Top Product Development Company is looking for a Reactjs Developer: .
Notice Period: Immediate (15 days or less).
React js and Redux: 2 years (Required).",
Software Engineer,iGold Technologies Private Limited,"Chennai, Tamil Nadu","We at iGold Technologies are currently hiring Game Developers, who will be required to turn a game idea into code in a fast growing and flexible environment.","₹18,000 a month"
"Trainee Software Developer
new",Emipro Technologies,,"Qualification: B.E./B.Tech/M.E/M.Tech/MscIT/MCA.
We are looking for an efficient Trainee - Software Developers who are responsible for analysing, designing,…",
Full Stack Developer,Techlify Inc,Remote,"Work on reviewing other developers code.
Training and reviewing work of other Junior developers.
Work in a team with 3-8 other developers.","₹75,000 - ₹1,00,000 a month"
Sr. Software Developer (Deployment Services),Brinqa,"Bengaluru, Karnataka","We are looking for a well-rounded developer who can think strategically and deliver tactical implementations.
End-to-End Design and Configuration.","₹5,82,729 - ₹16,77,867 a year"
UI Developer / Frontend Developer,iTech Mission Pvt Ltd,"Delhi, Delhi","We are urgently hiring for the position of a UI / Frontend developer.
Following are the job details for the profile:
Salary: Up to ₹600,000.00 per year.","₹6,00,000 a year"
".Net Developer Intern
new",MI TECH SOLUTIONS,"Pune, Maharashtra","Should know basic concepts about c#.net along with asp.net technologies.*.
We are offering 3 months internship for above skills and it will be without pay and…","₹10,000 a month"
Hybrid Mobile Developer for a Product Based Company,Shaw Academy,"Bengaluru, Karnataka","Cross-platform mobile app developers who have developed mobile apps with a familiarity of Ionic/Flutter.
Mobile app design and optimization, able to provide a…","₹15,00,000 a year"
"Freshers/Trainee Software Developer
new",Blue Flame Labs,,"Good Knowledge of HTML, JavaScript, C, C++ concepts.
Must have knowledge of C#, jQuery.
Strong Logical Reasoning, Analytical and Problem solving skills.",
Full Stack Developer,Asquero,,"Selected intern's day-to-day responsibilities include:
Work on front-end using languages such as JavaScript, HTML, and CSS.
Only those candidates can apply who:","₹2,50,000 - ₹5,00,000 a year"
Freelance Web Designer & Developer,Words And Cappuccinos,,"We are looking for a freelance website designer and developer for our client's project at a reasonable price.
Job Types: Part-time, Commission.","₹8,086 - ₹28,907 a month"
"Junior Software Developer
new",Dinfotech,,"CAREER LAUNCH PROGRAM For FRESHERS ONLY.
Any Graduate : (2012 - 2020 passout).
Sal : 12k first 3 months.
15k to 25k from 4 month.","₹12,500 - ₹25,000 a month"
Sr. Web Developer,Pixelmattic,Remote,"The developer will also work on ongoing website development projects making performance improvements, landing pages and fix responsive issues on websites.","₹30,000 - ₹35,000 a month"
"Internship -Web Developer and Web Designer
new",Passogen Technologies,,"Working at Passogen Technologies provides the opportunity to work with multiple domains.
Our unique, fast-paced and exciting environment that done every…","₹4,000 a month"
"Associate Developer - Software Engineering
new",UST Global,,"Work with the team to develop code with in the stipulated time.
(2) Apply generally accepted programing standards and techniques to assures efficient program…",
"ETL Developer
new",Tanla Solutions,,"Responsible for developing, deploying, monitoring and maintaining ETL Jobs, convert existing SQL scripts into ETL platform and data mining and text analytics.",
"ReactJS Developer
new",Diksha Technologies,,"A Top Product Development Company is looking for a Reactjs Developer: .
Notice Period: Immediate (15 days or less).
React js and Redux: 2 years (Required).",
"Python/Django Developer
new",Iprologic web & it solutions,,"Develop, test, and maintain web-based applications to specified designs & standards using Python & frameworks like Django.
Knowledge of REST API, JSON, etc.","₹6,00,000 a year"
Full Stack Developer,Techlify Inc,Remote,"Work on reviewing other developers code.
Training and reviewing work of other Junior developers.
Work in a team with 3-8 other developers.","₹75,000 - ₹1,00,000 a month"
Sr. Software Developer (Deployment Services),Brinqa,"Bengaluru, Karnataka","We are looking for a well-rounded developer who can think strategically and deliver tactical implementations.
End-to-End Design and Configuration.","₹5,82,729 - ₹16,77,867 a year"
UI Developer / Frontend Developer,iTech Mission Pvt Ltd,"Delhi, Delhi","We are urgently hiring for the position of a UI / Frontend developer.
Following are the job details for the profile:
Salary: Up to ₹600,000.00 per year.","₹6,00,000 a year"
"AngularJS Developer
new",UG Info Systems Pvt Ltd,"New Delhi, Delhi","Cooperate with developers, designers, and system administrators to identify new features.
We are looking for AngularJS developers with 2+ years of experience…","₹30,000 - ₹80,000 a month"
".Net Developer Intern
new",MI TECH SOLUTIONS,"Pune, Maharashtra","Should know basic concepts about c#.net along with asp.net technologies.*.
We are offering 3 months internship for above skills and it will be without pay and…","₹10,000 a month"
