Job_Title,Company,Location,Summary,Salary
"Asst. Manager - Employee Relations
new",Mahindra & Mahindra Ltd.,,"Responsible for Support to ER functions.
To Support to various employee (Blue collar/ Flexible) engagement / OD activities / Training activities.",
"TOR – Consultant (Coordinator, Human Resources)
new",ChildFund India,,"We work at ChildFund because we believe in the power of children to change their lives, their communities - and our world.
A master’s degree in Human Resources.","₹35,000 - ₹40,000 a month"
"Human Resources Internship
new",Delogex,,"\* Women wanting to start/restart their career can also apply.
Can start the internship between 15th Dec and 18thDec'20.
Handle end-to-end recruitment.",
"Sr. HR Manager
new",MAC AUTO INDIA,,"To be successful in this role, you should be familiar with HR technology, including payroll systems and Applicant Tracking Systems.","₹4,00,000 - ₹5,00,000 a month"
Group Human Resources Manager,WeeBuy Technologies Pvt. Ltd.,,"Manage the recruitment and selection process.
Salary: ₹19,978.00 - ₹83,791.00 per month.
Oversee daily operations of the business unit or organization.","₹19,978 - ₹83,791 a month"
"HR Executive
new",Meridian Enterprises,,"Human resources* specialists are responsible for recruiting, screening, interviewing and placing workers.
Salary: ₹25,000.00 - ₹90,000.00 per month.","₹25,000 - ₹90,000 a month"
"Human Resources Business Partner
new",Unibail-Rodamco-Westfield,,"Unibail-Rodamco-Westfield, URW är det ledande kommersiella fastighetsbolaget i Europa som äger och driver några av de främsta köpcentrumanläggningarna i Norden…",
"HR Head
new",Crowning Consulting,,"Talent Acquisition based on job specification and complete on-boarding process within set TAT.
Responsible for probation assessment and confirmation process as…","₹1,00,000 a month"
"HR Administrator
new",Smiths BIS,,"At Smiths we apply leading-edge technology to design, manufacture and deliver market-leading innovative solutions that meet our customers' evolving needs, and…",
"CORP_Human Resources_Generic_Global_JPMC
new","JPMorgan Chase Bank, N.A.",,"• 3+ years experience in a call center/customer service environment or benefits administration or human resources.
Hours of operation will be US shift.",
Associate - Human Resources,Varuna Integrated Logistics,,"Location Corporate Office, Gurgaon, Haryana, India (VL0047).",
"HR Intern
new",Bain & Company Inc,,"This internship role is a six-month contract role where the HR Intern will support the HR recruitment process.
0-6 months in Recruitment Coordination.",
"HR Assistant
new",FlexoFoam Pvt Ltd,,"Pay: ₹16,000.00 - ₹18,000.00 per month.
Maintaining daily attendance and overtime work.
EDUCATION: -* ANY GRADUATE IN ANY SPECIALIZATION.","₹16,000 - ₹18,000 a month"
"HR Manager
new",More Global,,"WhatsApp/Mail at- +91-7982824325 (no calls please mail/WhatsApp your CV will call back to the shortlisted candidate)*.
Human resources: 6 years (Required).","₹5,50,000 - ₹8,00,000 a year"
Human Resources Manager,Nyk Solutions Pvt. Ltd.,,"Human resources: 1 year (Preferred).
Manage the recruitment and selection process.
Salary: ₹16,714.00 - ₹51,441.00 per month.
Job Types: Full-time, Part-time.","₹16,714 - ₹51,441 a month"
Human Resources Manager,Nyk Solutions Pvt. Ltd.,,"Human resources: 1 year (Preferred).
Manage the recruitment and selection process.
Salary: ₹16,714.00 - ₹51,441.00 per month.
Job Types: Full-time, Part-time.","₹16,714 - ₹51,441 a month"
"Sr. HR Manager (Male)
new",MMG India,,"Identifies legal requirements and government reporting regulations affecting human resources functions and ensures policies, procedures, and reporting are in…",
"Human Resources Manager
new",Ecliffs tech pvt ltd.,,"Human resources: 1 year (Preferred).
Salary: ₹15,000.00 - ₹27,734.00 per month.
Total work: 1 year (Preferred).
Payroll Processing: 1 year (Preferred).","₹15,000 - ₹27,734 a month"
"HUMAN RESOURCE ASSOCIATE
new",Outline India,,"Resource Associate will include: 1) Developing and administering human resources.
Settings, and sectors, with the aim to include their needs, opinions, and…",
"HR Assistant
new",ACS Consultancy Services,,The assistant human resources (HR) manager supports the human resources manager with various tasks in the human resources department.,"₹20,000 - ₹25,000 a month"
Human Resources Manager,MCN Solutions Pvt. Ltd.,,"Human resources: 1 year (Preferred).
Manage the recruitment and selection process.
Salary: ₹20,969.00 - ₹72,249.00 per month.
Job Types: Full-time, Part-time.","₹20,969 - ₹72,249 a month"
Human Resources Manager,Vrtex Solutions Pvt Ltd,,"Manage the recruitment and selection process.
Salary: ₹14,109.00 - ₹41,646.00 per month.
Oversee daily operations of the business unit or organization.","₹14,109 - ₹41,646 a month"
"URGENT OPENING FOR HR & ADMIN HEAD
new",Pony Up Beauty Services Pvt. Ltd,,"Salary: ₹180,000.00 - ₹250,000.00 per month.
Support the development and implementation of HR initiatives and systems.
Total work: 3 years (Preferred).","₹1,80,000 - ₹2,50,000 a month"
"Specialist - Bhopal - GRID Corporate
new",PwC,,"In joining, you’ll help ensure a complete and relevant exchange of information among our consultants and in turn with engagement teams and clients, provide…",
Human Resources Manager,Neuvoatech Solutions Pvt. Ltd.,,"Manage the recruitment and selection process.
Salary: ₹16,714.00 - ₹51,441.00 per month.
Oversee daily operations of the business unit or organization.","₹16,714 - ₹51,441 a month"
"Mgr-Human Resources II
new","Marriott International, Inc",,"Oversees the selection/non-selection and offers processes to ensure proper procedures are followed (e.g., valid reasons for selection/non-selection and…",
"Sr. HR Executive
new",Alpha Milkfoods Pvt. Ltd.,,"Salary: From ₹25,000.00 per month.
Should be from UP location only.
Should have exposure of Manufacturing Industry, Contractor Dealing, Training & Development.","₹25,000 a month"
"Senior Manager - Human Resources
new",XL Catlin,,"Partnering and collaborating with business leaders and their respective teams while coaching, mentoring and contributing to the development of the team's agenda…",
"Assistant Manager - Human Resources
new",Tata Communications,,"Might lead/ mentor small teams Education : Post Graduate with a HR specialization Experience :4-7 years post qualification experience, in a HR Generalist…",
"Hr/peopleops Intern
new",Culturelligence Pvt. Ltd.,,"MBA-HR Interns (dual specialization in HR/Marketing too is welcome!).
A. Research current and latest HR Trends articles.
Job Types: Full-time, Internship.",
"Sr. HR Executive
new",Be Well Hospitals Pvt Ltd,"Chennai, Tamil Nadu","Coordinating between labour officers and notice issued.
Conduct interviews using various reliable recruiting and selection tools/methods to filter candidates…","₹18,000 - ₹22,000 a month"
HR Administrator,Nerfblut Screen Medical Services OPC Pvt Ltd,"Hyderabad, Telangana","Nerfblut has more than 25 employees full time and part time.
Our Clients include Vijaya diagnostics, Ferty9 Hospitals, D.Med and many more.","₹12,000 - ₹15,000 a month"
"HR Business Analyst
new",Covance,"Bengaluru, Karnataka",The People Analytics team equips human resources and business leaders with data driven insights to drive informed decision making.,
Human Resources Manager,MCN Solutions Pvt. Ltd.,,"Human resources: 1 year (Preferred).
Manage the recruitment and selection process.
Salary: ₹20,969.00 - ₹72,249.00 per month.
Job Types: Full-time, Part-time.","₹20,969 - ₹72,249 a month"
Human Resources Manager,Vrtex Solutions Pvt Ltd,,"Manage the recruitment and selection process.
Salary: ₹14,109.00 - ₹41,646.00 per month.
Oversee daily operations of the business unit or organization.","₹14,109 - ₹41,646 a month"
"URGENT OPENING FOR HR & ADMIN HEAD
new",Pony Up Beauty Services Pvt. Ltd,,"Salary: ₹180,000.00 - ₹250,000.00 per month.
Support the development and implementation of HR initiatives and systems.
Total work: 3 years (Preferred).","₹1,80,000 - ₹2,50,000 a month"
Human Resources Manager,Neuvoatech Solutions Pvt. Ltd.,,"Manage the recruitment and selection process.
Salary: ₹16,714.00 - ₹51,441.00 per month.
Oversee daily operations of the business unit or organization.","₹16,714 - ₹51,441 a month"
"Mgr-Human Resources II
new","Marriott International, Inc",,"Oversees the selection/non-selection and offers processes to ensure proper procedures are followed (e.g., valid reasons for selection/non-selection and…",
"Sr. HR Executive
new",Alpha Milkfoods Pvt. Ltd.,,"Salary: From ₹25,000.00 per month.
Should be from UP location only.
Should have exposure of Manufacturing Industry, Contractor Dealing, Training & Development.","₹25,000 a month"
"Senior Manager - Human Resources
new",XL Catlin,,"Partnering and collaborating with business leaders and their respective teams while coaching, mentoring and contributing to the development of the team's agenda…",
"Assistant Manager - Human Resources
new",Tata Communications,,"Might lead/ mentor small teams Education : Post Graduate with a HR specialization Experience :4-7 years post qualification experience, in a HR Generalist…",
"Hr/peopleops Intern
new",Culturelligence Pvt. Ltd.,,"MBA-HR Interns (dual specialization in HR/Marketing too is welcome!).
A. Research current and latest HR Trends articles.
Job Types: Full-time, Internship.",
"Associate Professional Human Resources (51000223)
new",DXC,,"Zero or more years of human resources experience.
Shift timing – UK shift, however candidate should be open to working in shifts where need arises.",
"Accounts Payable Processor - Gurgaon, HR
new",UnitedHealth Group,"Gurgaon, Haryana","Flexible to work in any shift.
Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives …",
"Junior HR Executive
new",Galaxi Auto works,"Mumbai, Maharashtra","Ü Operate and maintain machines in the office, like personal computers, voice mail systems, facsimile machines, scanners, and photocopiers.","₹1,80,000 - ₹3,00,000 a year"
Human Resources Manager,Fusion Innovative Ltd,"Chennai, Tamil Nadu","8+ years of experience in progressively responsible human resource roles.
Enhances the organization’s human resources by planning, implementing, and evaluating…","₹35,000 a month"
Talent Acquisitions Specialist - Strategic Sourcing,Telstra,"Bengaluru, Karnataka","We’re Australia’s leading telecommunications and technology company, with operations in more than 20 countries.
FIXED TERM CONTRACT OPPORTUNITY: 12 months.",
"Human Resources Manager
new","Marriott International, Inc",,"Oversees the selection/non-selection and offers processes to ensure proper procedures are followed (e.g., valid reasons for selection/non-selection and…",
"Human Resources Assistant
new",Unique Brain Research Foundation,,"Salary: ₹7,000.00 - ₹10,000.00 per month.
Candidate having very good communication ready to set new Goal for his/her career in Human resource sector.","₹7,000 - ₹10,000 a month"
Human Resources Manager,Imcrinox Technologies Pvt Ltd,,"Manage the recruitment and selection process.
Salary: ₹19,978.00 - ₹83,791.00 per month.
Oversee daily operations of the business unit or organization.","₹19,978 - ₹83,791 a month"
Human Resources Officer,Business2Sell,,"Ensure legal compliance throughout human resource management.
Promoting corporate values and shaping a positive culture is a vital aspect of a complete HR…","₹20,000 - ₹35,000 a month"
Human Resources Manager,WeeBuy Technologies Pvt. Ltd.,,"Human resources: 1 year (Preferred).
Manage the recruitment and selection process.
Salary: ₹16,404.00 - ₹43,081.00 per month.
Job Types: Part-time, Fresher.","₹16,404 - ₹43,081 a month"
Human Resource Manager,Acestack LLC,,"Leading a team of junior human resource managers.
Consistently recruiting an excellent staff.
Maintaining a smooth onboarding process.",
"HR Generalist
new",Pune Sales,,"Understand their expectations for open positions.
Recruitment Interface between the HR and Process owners in Operations.
Salary: Up to ₹400,000.00 per month.","₹4,00,000 a month"
Senior HR manager,Heron Strategic Consulting Pvt. Ltd.,,We are Heron Strategic Consulting Pvt. Ltd.- a professional consulting organisation which provides solutions to transform Human Resources more employable and…,"₹6,00,000 - ₹10,00,000 a year"
"Human Resource Executive
new",Think Recycling Private Limited,,"Salary: ₹15,000.00 - ₹25,000.00 per month.
Recruiting, training and developing staff.
Making sure that staff get paid correctly and on time.","₹15,000 - ₹25,000 a month"
Senior Human Resources Manager,"MaxLinear, Inc.",,"One such example was the acquisition of Intel’s Home Gateway Platform Division that added Wi-Fi, Ethernet, and Broadband Gateway Processor SoC technology to our…",
Operation Head,Pattropoda.Com,,Anticipate all guest needs and responds promptly & accordingly establish and maintain standards for staff performance and customer service.,"₹25,000 - ₹35,000 a month"
Human Resources Manager,CSD Infotech Pvt. Ltd.,,"Human resources: 1 year (Preferred).
Manage the recruitment and selection process.
Salary: ₹14,109.00 - ₹41,646.00 per month.
Total work: 1 year (Preferred).","₹14,109 - ₹41,646 a month"
"Human Resource
new",Crescerance,,"Salary: ₹100,000.00 - ₹150,000.00 per month.
Be a part of development team to develop features with a close eye on functional as well as non-functional…","₹1,00,000 - ₹1,50,000 a month"
