Job_Title,Company,Location,Summary,Salary
Sales executive,Archiplanet Associates,,"The role of the employee to sell the properties or land which is told by the team leader.
Job Types: Full-time, Part-time, Commission, Fresher.","₹25,000 a month"
"Sr. Executive
new",Kich Architectural Products Pvt Ltd,,"Locate vendors of materials, equipment or supplies & interview them to determine product availability & terms of sales.
Results-oriented and team player.","₹2,50,000 - ₹3,50,000 a year"
"Senior Sales Executive
new",aditeya,,"Meeting or exceeding sales goals.
Coordinating sales efforts with marketing programs.
Preparing and submitting sales contracts for orders.","₹90,000 a month"
"Sales and Marketing Executive
new",LEASING TOWERS,,"SALES / MARKETING EXECUTIVES FOR OUR SOUTH DELHI OFFICE LEASINGTOWERS.COM.
Salary: ₹22,000.00 - ₹35,000.00 per month.
Total work: 1 year (Preferred).","₹22,000 - ₹35,000 a month"
"Sales Executive
new",Cargill,,"The Sales Executive will support our staff in face-to-face and remote selling to new and existing customers, selling directly or indirectly through various…",
"Inside Sales Executive
new",Quintype Technologies,,"Your main responsibilities will be to pitch new clients by presenting our software solutions, manage client requirements and set qualified appointments for your…","₹6,00,000 - ₹8,00,000 a year"
"Sr. Purchase Executive
new",Rexpro enterprises pvt ltd,,"Maintained records of purchases and sales..
Highly experienced in managing purchase orders.
Good knowledge of inventory control process.","₹18,000 - ₹20,000 a month"
inside sales executive,Trim HR,,"Job role – inside sales executive.
Route qualified opportunities to the appropriate sales executives for further development and closure.",
EA to Vice President (Sales),Edufront Technologies Private Limited,,"Manage professional scheduling for senior executives, including agendas, mail, email, calls, travel arrangements, client management, and other company logistics…","₹6,00,000 - ₹10,00,000 a year"
"Accounts Executive
new",PSA Chemicals,,"Export Accounts knowledge is must with excise duty, sales tax, service tax, stock valuation, banking transactions like buyers credit, letter of credit, foreign…",
"Sales Executive
new",Job Saathi,,"Urgent Requirement for Freelancer Sales Executives for below locations of Uttar Pradesh (UP) in Google Pay;
Experience Preferred - Minimum 06 Months in Phonepe,…","₹15,000 - ₹35,000 a month"
"Executive Sales
new",Hublit Lighting Private Limited,,"Plan and oversee new sales strategies, inputs, and resources & must have ability to multi-task and deliver stretch targets.
Should master a strong follow-up.","₹50,000 a month"
"Associate Sales Consultants - Chat
new",Policybazaar.com,,"It would be a sales role, hence high Incentives.
Excellent Communication (Verbal and Written English) Skill and Smart worker, should be efficient in converting…",
"Ecommerce Portal Executive | WFH (Remote)
new",Comfort Click,,"Ecommerce exposure is a must.
Communication skills within the team and with stakeholders a must.
Our key objective is to maximise sales whilst keeping a healthy…","₹3,60,000 - ₹6,00,000 a year"
"Sales Executive
new",Coltene Whaledent Pvt Ltd,,"SC or MBA) - Minimum of 1 year working experience in hardcore sales from Dental / Pharma/ Real state / FMCG.
WE SEEK*: looking for Professionals who Passionate,…","₹3,00,000 a year"
Sr. Executive -Stores(Warehouse R&D),Jubilant Generics Limited,,"The manufacturing location at Mysore is spread over 69 acres and it’s a USFDA approved site engaged in manufacturing of APIs, and caters to the sales worldwide.",
"Sr. Accounts Executive
new",Sareen Sports Industries,,"Cash Handling, maintain cashbook on daily basis & preparing Cash vouchers.
Journal entries, Bank Advise, Drawback entry & Adjustment entry in Tally.","₹18,000 - ₹35,000 a month"
"Ecommerce Sales/Support Executive (1 Opening)
new",Squareknot,,"Ecommerce Sales/Support Executive (1 Opening).
We are looking for a young and energetic candidate to join our team.",
"Operations & Sales Support Specialist
new",Legalwiz,,"Detail-oriented with excellent project management, organizational, and analytical.
Maintain a detailed sales tracker to monitor and track status of all ongoing…",
"Area Sales Manager
new",ITALIA Ceramics Ltd,,"1 To implement the marketing / sales activities in the designated area & maximize sales.
7 To develop & monitor key account relations, assist executives and…","₹6,00,000 - ₹8,00,000 a year"
Territory Sales Executive - 2.5 NVG PATNA,Essilor,,"S/he will take care of all the primary and secondary sales to be generated from the territory.
Territory Sales Executive, 2.5 NVG, Essilor India.",
"Sales Executive
new",Wellversed Healthcare Private Limited,,"Meet and exceed sales targets.
Manage complex negotiations with senior-level executives.
By using a consultative approach to selling, this person will use their…","₹3,20,000 - ₹4,00,000 a year"
"Sales Executive
new",Watt-on Technologies,,"To work as liaison between multiple teams including customer service, sales and marketing.
Managerial Skills of high communication, proactive innovation and…",
